date,production
1956-01-01T00:00:00Z,86.6
1956-02-01T00:00:00Z,86.6
1956-03-01T00:00:00Z,86.6
1956-04-01T00:00:00Z,86.6
1956-05-01T00:00:00Z,86.6
1956-06-01T00:00:00Z,86.6
1956-07-01T00:00:00Z,86.6
1956-08-01T00:00:00Z,86.6
1956-09-01T00:00:00Z,86.6
1956-10-01T00:00:00Z,86.6
1956-11-01T00:00:00Z,86.6
1956-12-01T00:00:00Z,86.6
1957-01-01T00:00:00Z,86.6
1957-02-01T00:00:00Z,86.8
1957-03-01T00:00:00Z,86.3
1957-04-01T00:00:00Z,86.1
1957-05-01T00:00:00Z,86.3
1957-06-01T00:00:00Z,86.7
1957-07-01T00:00:00Z,86.9
1957-08-01T00:00:00Z,87.1
1957-09-01T00:00:00Z,87.1
1957-10-01T00:00:00Z,87.4
1957-11-01T00:00:00Z,87.3
1957-12-01T00:00:00Z,87.3
1958-01-01T00:00:00Z,87.6
1958-02-01T00:00:00Z,87.3
1958-03-01T00:00:00Z,87.4
1958-04-01T00:00:00Z,87.5
1958-05-01T00:00:00Z,87.8
1958-06-01T00:00:00Z,87.4
1958-07-01T00:00:00Z,87.5
1958-08-01T00:00:00Z,87.6
1958-09-01T00:00:00Z,87.9
1958-10-01T00:00:00Z,88.1
1958-11-01T00:00:00Z,87.9
1958-12-01T00:00:00Z,87.7
1959-01-01T00:00:00Z,87.8
1959-02-01T00:00:00Z,87.8
1959-03-01T00:00:00Z,88.2
1959-04-01T00:00:00Z,88.4
1959-05-01T00:00:00Z,88.3
1959-06-01T00:00:00Z,88.2
1959-07-01T00:00:00Z,88.1
1959-08-01T00:00:00Z,88.1
1959-09-01T00:00:00Z,88.8
1959-10-01T00:00:00Z,89.1
1959-11-01T00:00:00Z,88.9
1959-12-01T00:00:00Z,89.2
1960-01-01T00:00:00Z,89.0
1960-02-01T00:00:00Z,89.7
1960-03-01T00:00:00Z,90.0
1960-04-01T00:00:00Z,90.4
1960-05-01T00:00:00Z,90.2
1960-06-01T00:00:00Z,90.5
1960-07-01T00:00:00Z,90.7
1960-08-01T00:00:00Z,90.7
1960-09-01T00:00:00Z,91.1
1960-10-01T00:00:00Z,91.0
1960-11-01T00:00:00Z,91.5
1960-12-01T00:00:00Z,92.1
1961-01-01T00:00:00Z,92.0
1961-02-01T00:00:00Z,92.1
1961-03-01T00:00:00Z,91.8
1961-04-01T00:00:00Z,91.7
1961-05-01T00:00:00Z,92.0
1961-06-01T00:00:00Z,92.6
1961-07-01T00:00:00Z,92.7
1961-08-01T00:00:00Z,93.2
1961-09-01T00:00:00Z,93.2
1961-10-01T00:00:00Z,93.1
1961-11-01T00:00:00Z,94.0
1961-12-01T00:00:00Z,94.1
1962-01-01T00:00:00Z,94.5
1962-02-01T00:00:00Z,94.5
1962-03-01T00:00:00Z,94.5
1962-04-01T00:00:00Z,94.5
1962-05-01T00:00:00Z,95.1
1962-06-01T00:00:00Z,95.5
1962-07-01T00:00:00Z,95.4
1962-08-01T00:00:00Z,95.7
1962-09-01T00:00:00Z,95.8
1962-10-01T00:00:00Z,96.2
1962-11-01T00:00:00Z,96.6
1962-12-01T00:00:00Z,96.7
1963-01-01T00:00:00Z,97.2
1963-02-01T00:00:00Z,97.5
1963-03-01T00:00:00Z,98.2
1963-04-01T00:00:00Z,98.7
1963-05-01T00:00:00Z,99.2
1963-06-01T00:00:00Z,99.0
1963-07-01T00:00:00Z,99.6
1963-08-01T00:00:00Z,100.0
1963-09-01T00:00:00Z,100.0
1963-10-01T00:00:00Z,100.9
1963-11-01T00:00:00Z,100.9
1963-12-01T00:00:00Z,101.3
1964-01-01T00:00:00Z,101.9
1964-02-01T00:00:00Z,101.9
1964-03-01T00:00:00Z,102.1
1964-04-01T00:00:00Z,103.4
1964-05-01T00:00:00Z,103.5
1964-06-01T00:00:00Z,104.0
1964-07-01T00:00:00Z,104.8
1964-08-01T00:00:00Z,105.2
1964-09-01T00:00:00Z,105.8
1964-10-01T00:00:00Z,106.0
1964-11-01T00:00:00Z,105.9
1964-12-01T00:00:00Z,106.6
1965-01-01T00:00:00Z,106.9
1965-02-01T00:00:00Z,106.9
1965-03-01T00:00:00Z,107.1
1965-04-01T00:00:00Z,107.8
1965-05-01T00:00:00Z,107.8
1965-06-01T00:00:00Z,108.3
1965-07-01T00:00:00Z,108.5
1965-08-01T00:00:00Z,108.3
1965-09-01T00:00:00Z,108.8
1965-10-01T00:00:00Z,108.8
1965-11-01T00:00:00Z,109.2
1965-12-01T00:00:00Z,109.8
1966-01-01T00:00:00Z,110.2
1966-02-01T00:00:00Z,110.6
1966-03-01T00:00:00Z,111.2
1966-04-01T00:00:00Z,111.1
1966-05-01T00:00:00Z,111.3
1966-06-01T00:00:00Z,111.9
1966-07-01T00:00:00Z,112.3
1966-08-01T00:00:00Z,112.3
1966-09-01T00:00:00Z,112.8
1966-10-01T00:00:00Z,113.1
1966-11-01T00:00:00Z,113.5
1966-12-01T00:00:00Z,113.4
1967-01-01T00:00:00Z,113.9
